EPICA Dome C Ice Core 800KYr N2O Data 
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Core 800KYr N2O Data 
LAST UPDATE: 1/2010 (Original receipt by WDC Paleo)

CONTRIBUTORS:
Adrian Schilt, Renato Spahni, Matthias Baumgartner, Jacqueline Flückiger, 
Gregor Hausammann, Kenji Kawamura, Jakob Schwander, Hubertus Fischer, 
Thomas F. Stocker. Climate and Environmental Physics, Physics Institute, 
and Oeschger Centre for Climate Change Research, University of Bern, 
Switzerland.

DATA:
EPICA Dome C Ice Core 800KYr N2O Data 

Column 1: EDC96 depth (m)
Column 2: EDC99 depth (m)
Column 3: gas age (years before 1950 on EDC3: Loulergue et al., 2007)
Column 4: N2O concentration (parts per billion by volume, ppbv)
Column 5: N2O artifacts concentration (parts per billion by volume, ppbv)
Column 6: 1-sigma uncertainty N2O concentration (parts per billion by volume, ppbv)

REMARKS: For EDC96 depth levels the corresponding EDC99 depth is calculated 
using the comparison by Eric Wolff (EWWO@bas.ac.uk) between equivalent signals 
in the Dielectric Profile (DEP) records. 

1              2          3          4          5          6
299.665    299.475       7105      263.7       -999.0         3.5
302.520    302.330       7209      258.0       -999.0         3.4
305.270    305.080       7292      262.0       -999.0         3.7
308.465    308.275       7405      258.0       -999.0         3.7
311.215    311.025       7499      256.0       -999.0         3.7
313.520    313.330       7573      257.0       -999.0         3.4
316.270    316.080       7671      259.0       -999.0         3.7
319.465    319.275       7769      254.0       -999.0         3.7
321.805    321.615       7856      253.3       -999.0         3.5
324.560    324.370       7959      259.3       -999.0         4.0
326.170    325.980       8033      256.3       -999.0         3.5
330.040    329.850       8157      256.4       -999.0         3.5
330.430    330.240       8171      257.0       -999.0         3.7
333.215    333.025       8274      262.0       -999.0         3.7
335.965    335.775       8376      259.0       -999.0         3.7
338.270    338.080       8453      265.3       -999.0         3.5
341.020    340.830       8551      265.7       -999.0         3.5
343.665    343.475       8648      257.7       -999.0         3.8
346.965    346.775       8772      258.0       -999.0         4.3
349.270    349.080       8843      260.0       -999.0         3.7
352.020    351.830       8955      260.3       -999.0         3.5
355.765    355.575       9083      256.0       -999.0         3.4
357.415    357.225       9135      258.0       -999.0         3.4
359.720    359.530       9207      255.7       -999.0         3.5
362.915    362.725       9310      260.7       -999.0         3.5
369.070    368.880       9509      260.3       -999.0         3.5
371.165    370.975       9588      255.0       -999.0         3.4
374.570    374.380       9699      260.0       -999.0         3.7
377.215    377.025       9799      259.0       -999.0         3.7
379.520    379.330       9883      269.3       -999.0         3.5
381.715    381.525       9961      270.0       -999.0         3.7
385.530    385.340      10097      271.7       -999.0         3.5
388.280    388.090      10204      268.3       -999.0         3.8
389.970    389.780      10271      273.0       -999.0         3.4
393.715    393.525      10409      264.0       -999.0         3.4
396.430    396.240      10517      273.5       -999.0         3.7
399.215    399.025      10612      268.7       -999.0         3.8
401.520    401.330      10706      266.0       -999.0         3.7
404.715    404.525      10818      264.0       -999.0         3.7
407.430    407.240      10925      269.0       -999.0         3.7
411.315    411.125      11077      265.3       -999.0         3.5
412.965    412.775      11130      253.3       -999.0         3.5
415.270    415.080      11214      255.7       -999.0         3.5
418.465    418.275      11330      245.0       -999.0         3.4
421.320    421.130      11411      245.0       -999.0         3.4
427.270    427.080      11625      239.3       -999.0         3.5
429.015    428.825      11698      236.3       -999.0         3.5
431.665    431.475      11808      238.3       -999.0         4.0
434.520    434.330      11923      242.7       -999.0         3.5
437.165    436.975      12039      245.3       -999.0         3.5
443.320    443.130      12338      252.7       -999.0         3.5
445.965    445.775      12483      246.7       -999.0         3.5
448.270    448.080      12604      251.7       -999.0         3.5
450.915    450.725      12748      265.0       -999.0         3.4
453.770    453.580      12909      266.7       -999.0         3.5
456.970    456.780      13077      257.7       -999.0         3.5
460.330    460.140      13255      261.7       -999.0         3.5
463.565    463.375      13428      261.7       -999.0         3.5
464.788    464.598      13501      257.4       -999.0         3.4
467.495    467.305      13647      268.0       -999.0         3.7
469.720    469.530      13771      271.0       -999.0         4.1
473.130    472.940      13941       -999.0       267.7        3.5
479.620    479.430      14289       -999.0       240.0        3.4
484.020    483.830      14534       -999.0       237.7        4.0
487.180    486.990      14711       -999.0       232.7        3.5
489.965    489.775      14871       -999.0       240.0        3.4
491.720    491.530      14968       -999.0       242.3        3.5
496.015    495.825      15217       -999.0       222.0        3.7
498.870    498.680      15393       -999.0       244.3        3.5
501.515    501.325      15555       -999.0       223.0        3.7
504.370    504.180      15740       -999.0       220.3        3.5
506.465    506.275      15869       -999.0       226.0        3.4
509.180    508.990      16056       -999.0       231.3        3.5
511.965    511.772      16242       -999.0       223.5        3.7
514.680    514.482      16431       -999.0       227.0        3.4
517.465    517.261      16635       -999.0       228.0        3.4
519.770    519.562      16824       -999.0       234.0        3.7
519.910    519.701      16831       -999.0       256.0        3.7
522.965    522.750      17083       -999.0       223.3        3.5
525.820    525.600      17318       -999.0       231.3        4.0
528.465    528.240      17542       -999.0       237.3        3.5
531.180    530.949      17783       -999.0       223.0        3.4
532.865    532.631      17922       -999.0       241.3        4.6
536.680    536.439      18257       -999.0       253.3        3.5
539.465    539.218      18518       -999.0       203.7        3.5
543.848    543.592      18891       -999.0       217.5        3.5
548.780    548.515      19316       -999.0       225.0        3.4
550.465    550.197      19478       -999.0       244.0        3.4
552.770    552.497      19682       -999.0       243.0        3.7
552.930    552.657      19695       -999.0       242.7        3.5
555.965    555.686      19962       -999.0       221.7        3.5
557.720    557.437      20124       -999.0       242.0        3.7
561.465    561.175      20467       -999.0       242.7        3.5
564.180    563.885      20712       -999.0       279.0        3.4
566.965    566.664      20977       -999.0       244.3        3.5
569.680    569.374      21219       -999.0       228.7        3.8
572.470    572.159      21470       -999.0       239.0        4.1
575.870    575.552      21785       -999.0       240.0        3.4
578.170    577.847      21990       -999.0       226.3        3.5
585.765    585.428      22715       -999.0       219.0        3.7
590.655    590.308      23131       -999.0       206.3        3.5
594.565    594.210      23471       -999.0       209.7        3.5
598.965    598.602      23889       -999.0       201.7        3.5
603.365    602.993      24299       -999.0       227.0        3.7
607.765    607.385      24721       -999.0       202.3        3.5
614.365    613.972      25336       -999.0       235.0        6.9
619.255    618.852      25825       -999.0       217.3        3.5
630.285    629.860      26914       -999.0       231.3        3.8
634.660    634.227      27334       -999.0       220.5        3.7
638.565    638.124      27679       -999.0       219.7        3.5
643.485    643.035      28135       -999.0       228.3        3.5
647.365    646.907      28499       -999.0       221.3        3.5
652.255    651.787      28948      203.3       -999.0         3.5
656.655    656.179      29317      211.0       -999.0         3.7
663.275    662.786      29979      199.0       -999.0         3.7
669.885    669.383      30617      215.7       -999.0         3.5
673.765    673.255      30975      213.3       -999.0         3.5
678.175    677.657      31401      223.3       -999.0         4.0
684.765    684.234      32006      231.0       -999.0         3.7
689.180    688.640      32414      220.0       -999.0         3.7
694.085    693.536      32907      218.3       -999.0         3.8
697.980    697.423      33252      219.9       -999.0         3.5
702.365    701.799      33688      222.0       -999.0         3.7
704.565    703.995      33856      223.7       -999.0         3.5
709.485    708.906      34336      224.0       -999.0         3.7
713.395    712.808      34667      225.7       -999.0         3.5
717.765    717.169      35059      226.7       -999.0         3.5
724.395    723.786      35652      216.7       -999.0         3.5
728.795    728.178      36105      224.0       -999.0         3.7
733.165    732.539      36522      245.7       -999.0         3.5
740.255    739.615      37189      249.3       -999.0         3.5
744.275    743.627      37519      254.7       -999.0         3.8
749.065    748.408      37893      230.7       -999.0         3.8
752.995    752.330      38237      221.7       -999.0         3.5
757.885    757.211      38648      213.0       -999.0         3.4
762.285    761.602      39020      217.3       -999.0         3.5
766.165    765.475      39375      218.7       -999.0         3.5
768.365    767.670      39589      220.0       -999.0         4.3
773.250    772.546      40032      232.7       -999.0         3.5
-999.0        776.035      40371      243.0       -999.0         3.4
779.365    778.649      40635      217.0       -999.0         3.4
-999.0        781.015      40861      232.3       -999.0         3.5
783.770    783.045      41057      224.3       -999.0         3.5
-999.0        786.515      41369      240.3       -999.0         4.0
-999.0        792.015      41928      219.7       -999.0         3.5
-999.0        803.535      42888      245.0       -999.0         3.7
-999.0        808.515      43343      235.0       -999.0         3.4
-999.0        814.015      43861      227.5       -999.0         3.7
-999.0        819.575      44403      240.7       -999.0         4.0
-999.0        825.565      44983      233.7       -999.0         4.0
-999.0        830.515      45415      249.0       -999.0         3.7
-999.0        835.985      45877      251.3       -999.0         4.4
-999.0        842.035      46339      270.3       -999.0         3.5
-999.0        847.015      46744      257.3       -999.0         3.8
-999.0        858.045      47669      232.3       -999.0         3.8
-999.0        863.515      48173      220.0       -999.0         3.7
-999.0        869.015      48677      229.0       -999.0         3.7
-999.0        875.035      49256      224.0       -999.0         3.7
-999.0        886.035      50191      243.0       -999.0         3.7
-999.0        891.015      50621      241.7       -999.0         4.0
-999.0        896.545      51141      248.7       -999.0         3.8
-999.0        902.015      51619      263.7       -999.0         3.5
-999.0        913.020      52532      260.7       -999.0         3.5
-999.0        918.515      52990      269.3       -999.0         4.0
-999.0        924.015      53430      250.7       -999.0         4.0
-999.0        929.515      53869      249.3       -999.0         3.5
-999.0        940.515      54829      257.3       -999.0         3.5
-999.0        946.015      55287      236.3       -999.0         3.5
-999.0        951.540      55804      219.0       -999.0         4.1
-999.0        957.015      56316      247.7       -999.0         4.0
-999.0        968.015      57255      256.3       -999.0         3.8
-999.0        973.515      57720      262.7       -999.0         4.0
-999.0        979.015      58158       -999.0       282.7        4.0
-999.0        984.515      58609       -999.0       269.0        3.7
-999.0        995.515      59584       -999.0       228.3        3.5
-999.0       1001.015      60049       -999.0       223.0        3.7
-999.0       1006.515      60546       -999.0       236.3        4.0
-999.0       1012.015      61051       -999.0       228.5        5.2
-999.0       1023.015      62201       -999.0       214.0        3.7
-999.0       1028.515      62819       -999.0       248.3        4.4
-999.0       1034.015      63432       -999.0       240.7        3.5
-999.0       1039.510      64016       -999.0       214.7        4.0
-999.0       1050.515      65252      215.0       -999.0         3.7
-999.0       1056.505      65930      224.0       -999.0         4.1
-999.0       1061.515      66486      218.0       -999.0         3.7
-999.0       1067.015      67075      209.0       -999.0         3.7
-999.0       1078.015      68278      213.3       -999.0         3.8
-999.0       1083.515      68972      217.3       -999.0         3.5
-999.0       1089.015      69585      232.3       -999.0         3.8
-999.0       1094.515      70166      251.3       -999.0         4.0
-999.0       1105.545      71099      220.3       -999.0         3.8
-999.0       1111.015      71610      216.3       -999.0         4.0
-999.0       1116.515      72207      234.3       -999.0         3.8
-999.0       1122.015      72853      254.3       -999.0         4.0
-999.0       1133.015      73916      274.3       -999.0         4.0
-999.0       1138.515      74392      255.0       -999.0         3.4
-999.0       1144.015      74883      226.0       -999.0         4.1
-999.0       1149.515      75422      235.0       -999.0         3.7
-999.0       1160.515      76528      228.0       -999.0         3.7
-999.0       1166.015      77054      250.3       -999.0         3.5
-999.0       1171.515      77592      256.0       -999.0         3.7
-999.0       1177.015      78150      262.3       -999.0         3.8
-999.0       1188.015      79146      250.3       -999.0         4.0
-999.0       1193.515      79626      261.0       -999.0         3.7
-999.0       1199.015      80104      261.7       -999.0         3.5
-999.0       1204.515      80568      251.3       -999.0         3.8
-999.0       1215.515      81522      270.7       -999.0         3.8
-999.0       1221.015      81983      265.0       -999.0         4.3
-999.0       1226.515      82418      266.0       -999.0         3.7
-999.0       1232.015      82865      267.3       -999.0         4.0
-999.0       1243.015      83739      239.3       -999.0         4.0
-999.0       1248.515      84223      243.3       -999.0         4.0
-999.0       1254.015      84700      229.7       -999.0         3.5
-999.0       1259.515      85201      219.7       -999.0         3.5
-999.0       1270.515      86207      214.7       -999.0         3.8
-999.0       1276.015      86725      224.7       -999.0         3.8
-999.0       1281.515      87336      243.7       -999.0         3.8
-999.0       1287.015      87900      232.3       -999.0         3.5
-999.0       1292.515      88505      248.0       -999.0         3.4
-999.0       1298.015      89061      246.3       -999.0         3.8
-999.0       1303.545      89584      241.3       -999.0         3.8
-999.0       1309.015      90113      240.7       -999.0         4.0
-999.0       1314.515      90691      239.3       -999.0         4.0
-999.0       1325.515      91799      236.3       -999.0         4.0
-999.0       1331.015      92344      245.3       -999.0         3.5
-999.0       1336.515      92888      245.7       -999.0         3.5
-999.0       1342.015      93431      230.3       -999.0         4.0
-999.0       1353.015      94457      237.7       -999.0         3.8
-999.0       1358.515      94963      244.0       -999.0         3.4
-999.0       1364.015      95488      263.0       -999.0         3.7
-999.0       1369.515      96023      254.3       -999.0         3.5
-999.0       1380.515      97086      257.3       -999.0         3.5
-999.0       1386.015      97623      242.0       -999.0         3.4
-999.0       1391.515      98145      257.3       -999.0         3.8
-999.0       1397.015      98665      255.3       -999.0         3.5
-999.0       1408.015      99755      256.0       -999.0         3.7
-999.0       1413.515     100326      254.3       -999.0         3.5
-999.0       1419.015     100899      262.3       -999.0         3.8
-999.0       1424.515     101430      249.3       -999.0         3.5
-999.0       1435.515     102540      233.0       -999.0         3.4
-999.0       1441.015     103157      234.0       -999.0         3.4
-999.0       1446.515     103785      242.3       -999.0         3.5
-999.0       1452.015     104420      257.3       -999.0         3.8
-999.0       1463.015     105698      266.3       -999.0         3.5
-999.0       1468.515     106274      271.0       -999.0         3.4
-999.0       1474.015     106849      243.7       -999.0         3.5
-999.0       1479.515     107479      230.0       -999.0         3.7
-999.0       1490.515     108957      250.0       -999.0         3.7
-999.0       1496.015     109648      256.3       -999.0         3.5
-999.0       1501.515     110334      233.3       -999.0         3.5
-999.0       1507.015     110982      247.0       -999.0         3.7
-999.0       1518.015     112311      249.3       -999.0         3.8
-999.0       1523.515     112955      251.3       -999.0         3.5
-999.0       1529.015     113594      254.7       -999.0         3.8
-999.0       1545.515     115265      250.7       -999.0         3.8
-999.0       1551.015     115811      256.7       -999.0         3.8
-999.0       1556.515     116340      251.0       -999.0         3.4
-999.0       1562.015     116842      257.0       -999.0         3.7
-999.0       1573.015     117815      259.3       -999.0         3.8
-999.0       1578.515     118268      270.7       -999.0         3.5
-999.0       1584.015     118743      274.0       -999.0         3.7
-999.0       1590.035     119239      254.3       -999.0         3.5
-999.0       1600.515     120069      262.3       -999.0         3.5
-999.0       1606.015     120498      263.0       -999.0         3.7
-999.0       1611.515     120913      267.3       -999.0         3.8
-999.0       1617.015     121333      265.7       -999.0         3.5
-999.0       1628.015     122161      257.3       -999.0         3.5
-999.0       1633.515     122556      262.7       -999.0         3.5
-999.0       1639.520     123004      261.8       -999.0         3.5
-999.0       1644.515     123386      262.0       -999.0         3.7
-999.0       1655.515     124189      261.7       -999.0         3.8
-999.0       1661.535     124652      264.7       -999.0         3.8
-999.0       1666.515     125018      263.0       -999.0         3.7
-999.0       1672.015     125436      263.3       -999.0         4.0
-999.0       1683.015     126272      251.7       -999.0         3.5
-999.0       1688.515     126679      254.7       -999.0         3.5
-999.0       1694.015     127030      254.3       -999.0         3.8
-999.0       1699.515     127419      255.7       -999.0         3.5
-999.0       1710.515     128109      267.7       -999.0         3.5
-999.0       1716.015     128423      265.0       -999.0         4.1
-999.0       1721.545     128750      252.7       -999.0         4.0
-999.0       1727.015     129096      243.3       -999.0         3.8
-999.0       1738.015     129807      243.7       -999.0         3.8
-999.0       1744.010     130234      232.7       -999.0         3.5
-999.0       1749.015     130640      225.3       -999.0         3.5
-999.0       1754.515     131108      229.3       -999.0         3.5
-999.0       1765.515     132207      218.7       -999.0         3.5
-999.0       1771.015     132876      226.3       -999.0         3.5
-999.0       1776.530     133606      239.5       -999.0         3.7
-999.0       1782.015     134387      211.0       -999.0         3.7
-999.0       1793.490     136377       -999.0       232.5        3.7
-999.0       1799.560     137518       -999.0       243.7        3.5
-999.0       1804.565     138450       -999.0       225.0        3.7
-999.0       1809.515     139412       -999.0       266.0        3.7
-999.0       1820.515     141621       -999.0       235.7        3.8
-999.0       1826.490     142777       -999.0       217.7        3.5
-999.0       1831.530     143785       -999.0       247.8        3.5
-999.0       1837.015     144832       -999.0       215.7        4.0
-999.0       1848.485     147049       -999.0       223.7        3.5
-999.0       1853.515     148033       -999.0       223.3        3.5
-999.0       1859.485     149193       -999.0       232.7        3.8
-999.0       1864.515     150128       -999.0       258.0        3.7
-999.0       1875.985     152342       -999.0       252.3        3.5
-999.0       1881.030     153339       -999.0       185.5        3.4
-999.0       1886.515     154457       -999.0       202.0        3.7
-999.0       1892.015     155563       -999.0       204.0        3.4
-999.0       1903.015     157996       -999.0       210.0        3.7
-999.0       1908.515     158997       -999.0       236.3        3.5
-999.0       1914.015     160006       -999.0       213.3        3.5
-999.0       1919.975     161331       -999.0       226.0        3.7
-999.0       1930.515     163364       -999.0       205.0        3.4
-999.0       1936.030     164549       -999.0       212.3        3.7
-999.0       1941.515     165731       -999.0       232.3        3.8
-999.0       1947.015     166906       -999.0       240.7        3.5
-999.0       1958.015     168999       -999.0       242.3        3.8
-999.0       1963.530     170160       -999.0       246.2        3.5
-999.0       1969.015     171345       -999.0       250.3        3.5
-999.0       1974.515     172424       -999.0       229.0        3.7
-999.0       1985.518     174744       -999.0       218.7        3.5
-999.0       1991.015     176029       -999.0       271.0        3.4
-999.0       1996.515     177248       -999.0       258.0        3.4
-999.0       2002.465     178418       -999.0       234.0        3.7
-999.0       2013.505     181011      241.7       -999.0         3.5
-999.0       2018.515     182259      226.7       -999.0         3.5
-999.0       2024.505     183710      219.5       -999.0         3.6
-999.0       2029.515     184862      216.0       -999.0         3.9
-999.0       2040.515     187406      254.0       -999.0         3.7
-999.0       2046.015     188495      227.3       -999.0         3.5
-999.0       2051.515     189613      216.3       -999.0         3.5
-999.0       2057.535     191065      251.3       -999.0         3.5
-999.0       2068.015     193277      232.0       -999.0         3.7
-999.0       2073.515     194499      248.3       -999.0         3.5
-999.0       2079.015     195604      250.0       -999.0         3.7
-999.0       2084.515     196614      244.3       -999.0         3.5
-999.0       2095.515     198475      254.0       -999.0         3.7
-999.0       2101.015     199349      254.0       -999.0         3.7
-999.0       2107.035     200347      255.0       -999.0         3.4
-999.0       2112.535     201292      256.7       -999.0         3.5
-999.0       2123.015     203249      245.3       -999.0         3.5
-999.0       2128.515     204351      243.7       -999.0         3.5
-999.0       2134.015     205375      252.7       -999.0         3.5
-999.0       2139.515     206354      253.3       -999.0         3.5
-999.0       2151.065     208351      250.3       -999.0         3.5
-999.0       2156.015     209152      258.7       -999.0         3.5
-999.0       2161.515     210049      252.7       -999.0         3.5
-999.0       2167.015     210904      252.0       -999.0         3.7
-999.0       2178.015     212691      250.7       -999.0         3.5
-999.0       2183.515     213589      257.3       -999.0         3.8
-999.0       2189.015     214517      265.3       -999.0         3.5
-999.0       2194.515     215425      240.7       -999.0         3.5
-999.0       2277.015     236995      267.0       -999.0         4.9
-999.0       2279.265     237445      270.0       -999.0         5.8
-999.0       2281.815     237960      264.0       -999.0         4.1
-999.0       2283.615     238321      238.3       -999.0         3.8
-999.0       2285.815     238750      259.3       -999.0         3.8
-999.0       2288.015     239157      267.3       -999.0         3.8
-999.0       2290.215     239576      254.3       -999.0         3.8
-999.0       2292.415     239939      252.7       -999.0         3.5
-999.0       2294.615     240306      257.0       -999.0         4.3
-999.0       2296.815     240673      260.7       -999.0         3.8
-999.0       2299.015     241027      270.3       -999.0         3.5
-999.0       2301.215     241377      273.3       -999.0         3.8
-999.0       2303.415     241691      277.0       -999.0         3.7
-999.0       2305.615     241978      267.3       -999.0         3.8
-999.0       2307.815     242284      243.0       -999.0         3.4
-999.0       2310.015     242600      254.3       -999.0         3.8
-999.0       2460.715     292978      228.7       -999.0         4.0
-999.0       2462.915     293875      250.7       -999.0         3.8
-999.0       2465.115     294800      244.0       -999.0         4.1
-999.0       2467.315     295667      256.0       -999.0         3.7
-999.0       2469.515     296470      207.0       -999.0         3.4
-999.0       2471.715     297285      228.7       -999.0         3.5
-999.0       2473.915     298193      252.7       -999.0         3.5
-999.0       2476.115     299097      253.7       -999.0         3.5
-999.0       2479.485     300353      261.3       -999.0         4.0
-999.0       2481.615     301154      228.0       -999.0         3.7
-999.0       2483.815     302035      244.7       -999.0         4.0
-999.0       2486.015     302854      258.0       -999.0         4.3
-999.0       2488.215     303648      263.3       -999.0         4.4
-999.0       2490.415     304478      266.0       -999.0         4.3
-999.0       2492.615     305249      269.7       -999.0         4.0
-999.0       2494.815     306017      243.0       -999.0         3.7
-999.0       2497.015     306876      249.0       -999.0         8.7
-999.0       2499.215     307799      256.0       -999.0         4.1
-999.0       2501.415     308677      263.0       -999.0         3.7
-999.0       2503.615     309550      263.3       -999.0         9.1
-999.0       2505.815     310428      260.3       -999.0         3.5
-999.0       2508.015     311238      269.0       -999.0         3.7
-999.0       2510.215     312055      262.0       -999.0        13.1
-999.0       2512.415     312873      277.7       -999.0         6.0
-999.0       2514.615     313573      272.3       -999.0         3.5
-999.0       2516.815     314309      284.7       -999.0         4.4
-999.0       2519.015     315049      271.3       -999.0         4.0
-999.0       2521.215     315770      285.7       -999.0         4.0
-999.0       2523.415     316482      262.0       -999.0         3.7
-999.0       2525.615     317244      245.3       -999.0         3.5
-999.0       2527.815     318016      244.0       -999.0         3.4
-999.0       2530.015     318842      264.3       -999.0         4.4
-999.0       2532.215     319668      251.7       -999.0         4.0
-999.0       2534.415     320471      271.0       -999.0         4.1
-999.0       2536.615     321210      285.0       -999.0         3.7
-999.0       2538.815     321904      277.3       -999.0         4.6
-999.0       2541.015     322581      283.0       -999.0         3.7
-999.0       2543.215     323231      286.7       -999.0         3.5
-999.0       2545.415     323820      280.0       -999.0         3.7
-999.0       2547.615     324407      269.0       -999.0         3.7
-999.0       2549.815     325000      283.0       -999.0         4.1
-999.0       2552.015     325558      291.0       -999.0         4.9
-999.0       2554.215     326101      276.7       -999.0        13.8
-999.0       2556.415     326629      277.3       -999.0         3.5
-999.0       2558.615     327177      295.0       -999.0         4.1
-999.0       2560.815     327702      275.3       -999.0         3.8
-999.0       2565.215     328749      286.3       -999.0         4.4
-999.0       2567.415     329328      286.7       -999.0         4.8
-999.0       2569.615     329863      293.3       -999.0         3.8
-999.0       2571.815     330375      301.7       -999.0         4.0
-999.0       2574.015     330904      282.3       -999.0         4.0
-999.0       2576.215     331428      280.3       -999.0         3.5
-999.0       2579.585     332159      274.3       -999.0         4.8
-999.0       2581.715     332577      282.0       -999.0         3.7
-999.0       2583.985     333011      287.3       -999.0         4.0
-999.0       2588.385     333855      271.0       -999.0         4.3
-999.0       2590.515     334288      258.0       -999.0         3.7
-999.0       2592.835     334811      264.3       -999.0         4.0
-999.0       2594.915     335325      256.0       -999.0         5.7
-999.0       2597.185     335970      253.3       -999.0         3.5
-999.0       2599.315     336656      252.0       -999.0         4.1
-999.0       2601.585     337468       -999.0       253.7        3.5
